NO,NAME,IP,GENDER,DESCRIPTION,DATE,COMMENT
15,KUN-崔皮炸鸡,山东,m,爱人如己 生以悦己 @蔡徐坤,Wed Aug 02 00:33:01,生日快乐🎂相信自己 成为你自己！你现在所经历的磨难，未来都会成为你的下酒菜。@蔡徐坤[蛋糕]
16,思葵选手,广东,f,你在时 我只看你.,Wed Aug 02 00:32:13,无关人员让让让让 小广播来了 （掏出一张小纸条）然后（清嗓子）咳咳 然后（大声朗诵）发现不够大声 然后（掏出大喇叭）我长话短说 蔡徐坤25岁生日快乐！记得许愿 爱你
17,小葵睡懒觉kK,广东,f,𝙆𝙐𝙉&𝙄𝙆𝙐𝙉,Wed Aug 02 00:33:07,生日快乐[蛋糕]@蔡徐坤
18,Ciuu7ees-,吉林,f,爱人如己,Wed Aug 02 00:32:55,生日快乐啊！我永远爱你@蔡徐坤
19,想吃蛋炒饭嘛,山西,f,少管我 谁都是.,Wed Aug 02 00:32:45,只要站在舞台上，你永远还是耀眼而又令人骄傲的雄狮，25岁生日快乐坤@蔡徐坤 [抱一抱] [抱一抱]
20,蛋卷真的很想睡觉,四川,f,你脑子里灌满了酒精,Wed Aug 02 00:32:41,㊗️原创音乐制作人蔡徐坤25岁生日快乐🎂🎊又一年我们一起过生日。一直在，一直听你唱。 Only for KUN.在你不出现的这段时间里，我们都要好好生活，天天开心🥳。记得吃蛋糕哦。 KUN&IKUN is forever.@蔡徐坤 [哇]
21,坤家的崽仔,江西,f,,Wed Aug 02 00:32:36,蔡徐坤要永远开心快乐，平安无虞啊
22,-郜郜i幼恩呐,陕西,f,𝑺𝒉𝒂𝒓𝒊𝒏𝒈 𝒍𝒐𝒗𝒆🖤,Wed Aug 02 00:32:16,恭喜你！开启long game新副本，接下来的路，我们一起打怪升级！@蔡徐坤 25岁生日快乐！！！
23,小猪彩彩噜,湖南,f,滚,Wed Aug 02 00:32:30,生日快乐[兔子]@蔡徐坤
24,岚岚也爱芒果冰,云南,f,贰零贰叁 多爱蔡徐坤一点,Wed Aug 02 00:32:23,脚下踩着泥泞的路，心里怀揣有梦的远方，纵使前路迷茫，我与你一同前往，25岁生日快乐！@蔡徐坤
25,piKriK-8-2,江苏,f,PiCriK  ：“我偏爱他且热爱他没有例外”,Wed Aug 02 00:34:20,生日快乐宝宝[蛋糕]
26,電子蝴蝶MP3版,广东,f,​​​镇魂,Wed Aug 02 00:32:30,小坤生日快乐[心][心][心]
27,小葵的馨,广东,f,别来烦蔡徐坤和粉丝,Wed Aug 02 00:32:12,有人永远爱你 生日快乐大哥~
28,fffff_m,福建,f,爱宝贝@蔡徐坤 留着吧 证明喜欢过💕,Wed Aug 02 00:36:52,生日快乐 我的宝贝[送花花][送花花]
29,_怡困噜-,浙江,f,蔡徐坤,Wed Aug 02 00:36:49,永远爱你@蔡徐坤
30,葵葵小布偶,安徽,f,我仍，守着花海，等你归来。,Wed Aug 02 00:36:30,生日快乐
31,行將就鍷了,河南,f,开学（闭关修炼）,Wed Aug 02 00:43:46,㊗️蔡徐坤生日快乐[打call]谢谢你加入我的青春让我的生活多了一种颜色[彩虹屁]ikun永远都会在，做你的歌迷！！一直爱你@蔡徐坤
32,-吃饱了就犯困,四川,f,少管我,Wed Aug 02 00:43:13,永远要开心幸福啊坤 生日快乐[泪]最好的祝福给你[泪]
33,色坤头子,重庆,f,,Wed Aug 02 00:41:39,我爱你！你要一直快乐！要好好生活好好照顾自己！我的宝贝 生日快乐！！我们一直都在！永远！@蔡徐坤
34,K·小猫咪_yan,湖北,f,花花世界，静守己心 ☝🏼,Wed Aug 02 00:45:40,这是第六次陪你过生日啦[抱一抱]你继续热爱你的热爱，我们会一直在😘☝🏼️坤～生日快乐🎂✨
35,旺仔小猫头子,北京,f,一只超爱kun的小ikun❤️,Wed Aug 02 00:41:33,陪你过得第五个生日哥哥！生日快乐！@蔡徐坤
36,Mu-Keiyuo,新疆,f,爱人如己,Wed Aug 02 00:40:34,生日快乐@蔡徐坤
37,今天可以不熬夜了吗,甘肃,f,KUN和IKUN是永远在一起的🎀💞☝🏻,Wed Aug 02 00:54:36,我爱你 生日快乐[蛋糕]
38,妞子小影,重庆,f,《I wanna get love》💙All of music All of kun,Wed Aug 02 00:32:01,@蔡徐坤 吃蛋糕 http://t.cn/A60pnlcv
39,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 00:57:22,生日快乐🎂
40,很困的82颗菠萝炒蒜,广西,f,未曾谋面的也终将会相遇,Wed Aug 02 00:54:09,25岁的小坤要顺顺利利平平安安！生日快乐🎂
41,我的宝贝你在干嘛,北京,f,have fun𐂂,Wed Aug 02 00:53:59,生日快乐@蔡徐坤
42,小王今天爱坤了吗,江苏,f,,Wed Aug 02 01:06:25,岁岁年年，情深未减@蔡徐坤
43,赠坤蓝玫瑰,天津,f,爱人如己˶˃ ᵕ ˂˶,Wed Aug 02 00:53:48,25岁生日快乐~
44,困困不想理我了,山东,f,阿彩,Wed Aug 02 00:52:34,生日快乐徐坤 要继续快乐下去，我们一直都在[心]
45,小困贩卖铺,福建,f,超级喜欢KUN的女孩子💕,Wed Aug 02 00:50:03,谢谢你住进我的青春 未来我们也继续陪伴彼此[心]生日快乐
46,葵葵八分甜呀,江苏,f,两人两狗两猫三餐四季～,Wed Aug 02 00:50:03,生日快乐🎂
47,808BassaboutK,福建,f,笑他疯却都来模仿这路子,Wed Aug 02 00:49:34,🎂🎂To我的挚爱蔡徐坤：生日快乐！我们相遇陪你的第6个生日啦！未来的第六个我也在！平安喜乐啊宝宝！💛只要你还站在舞台上我就会一直听你唱，你放心勇敢大胆的继续往前，身后会一直有IKUN和金海在，你爱我，我爱你KUN和IKUN甜蜜蜜💛@蔡徐坤
48,-郜郜i幼恩呐,陕西,f,𝑺𝒉𝒂𝒓𝒊𝒏𝒈 𝒍𝒐𝒗𝒆🖤,Wed Aug 02 00:51:40,25岁生日快乐 继续闪耀 做舞台上闪闪发光的你 我爱你@蔡徐坤
49,August麻迷,江西,f,葵奎妈,Wed Aug 02 00:50:35,坤哥生日快乐🎂㊗️平安顺遂，自由幸福！
50,多少整点儿,河南,f,你一定能够成为你想要去成为的人,Wed Aug 02 00:50:44,生日快乐天天开心哦！
51,葵葵八分甜呀,江苏,f,两人两狗两猫三餐四季～,Wed Aug 02 00:50:27,一直在一直爱
52,彬糖奶坤_,河北,f,坤坤是个害人精😝不爱坤坤又不行🥰😍,Wed Aug 02 00:49:28,陪你过的第六个生日，25岁坤坤宝贝生日快乐[蛋糕]每天都要开开心心！一直在，永远爱[亲亲][亲亲][亲亲][亲亲]
53,小困贩卖铺,福建,f,超级喜欢KUN的女孩子💕,Wed Aug 02 00:47:49,你曾指引着我奔去更好的方向，而我也会一直在你身后看你闪闪发光。[心]生日快乐
54,冬日唱片-标签版,广东,f,刻在百年之前未解的爱， 我仍守着花海等你归来。,Wed Aug 02 00:46:56,"If you need me,I will be your side.生日快乐🎂@蔡徐坤"
55,闪耀蔡蔡,广东,f,没办法我就是爱你@蔡徐坤,Wed Aug 02 00:39:54,KUN&IKUN IS FOREVER@蔡徐坤
56,小慧与蔡困,广西,f,蔡徐坤是整个青春,Wed Aug 02 00:40:27,第六个生日啦🍰要一直开心！
57,小葵睡懒觉kK,广东,f,𝙆𝙐𝙉&𝙄𝙆𝙐𝙉,Wed Aug 02 00:31:52,一直在 生日快乐！！！[蛋糕]
58,困在小狮子身边,山西,m,往后的路我陪你一起走,Wed Aug 02 00:47:12,我最爱的大狮子25岁生日快乐！
59,HHAIKUN,重庆,f,等他出关,Wed Aug 02 00:39:48,@蔡徐坤  希望25岁的你能做你想做的 一定有人会支持你和爱你 祝生日快乐 平平安安
60,-困困菜姚,重庆,f,KUN&IKUN,Wed Aug 02 01:20:53,陪你过的第六个生日啦 我很幸福真的 25岁生日快乐@蔡徐坤
61,岵山尋蔡,山东,f,· ᴘʟᴀʏ  ᴀ  ʟᴏɴɢ  ɢᴀᴍᴇ ｜ Aikun .,Wed Aug 02 00:38:11,旦逢良辰，顺颂时宜。25岁的蔡徐坤你好，新一岁的剧本就从读完我的评论开始吧！即使万人仰慕，我对你一见如故，愿你在迷茫中寻找自我，期待更多的舞台。𝙼𝚊𝚢 𝚢𝚘𝚞𝚛 𝚋𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𝚋𝚎 𝚏𝚞𝚕𝚕 𝚘𝚏 𝚕𝚊𝚞𝚐𝚑𝚝𝚎𝚛! 🎂
62,谁知潘中餐802,湖北,f,,Wed Aug 02 01:18:41,平安喜乐
63,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:10,平安喜乐，最朴实的辞藻，却囊括了对你的所有祝福❤️生日快乐[笑而不语]
64,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:19,勇敢大胆的去闯吧，身后永远有人爱你。生日快乐🎂
65,August_屁桃小葵,云南,f,未曾谋面的终将会相遇,Wed Aug 02 00:34:09,㊗️KUN25岁生日快乐！🎂不止生日，每天都要开心“打不倒的都会使我们更强大”一直都在，happy birthday🎉🎉🎉@蔡徐坤
66,菜包屁弟,湖南,f,蔡徐坤是巨星,Wed Aug 02 00:34:12,“我仍守着花海 等你归来～”@蔡徐坤 生日快乐 期待下一次见面
67,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:15,你曾指引着我奔去更好的方向，而我也会一直在你身后看你闪闪发光。[心]生日快乐
68,煎葵果子,湖北,f,爱与猜忌不同生,Wed Aug 02 00:33:45,生日快乐🎂坤！一起的第6个生日啦!今年赴约看了你的演唱会，很喜欢 爱你！！要多多唱歌给我们听哦～会越来越好的🥳你远比自己想象的更好更强大@蔡徐坤 ​​​
69,愛·KUN,黑龙江,f,爱人如己 ㅤㅤㅤㅤ ㅤㅤㅤㅤ ㅤㅤㅤㅤ ㅤ ㅤㅤㅤㅤ花花世界，静守已心,Wed Aug 02 00:39:10,爱你宝贝！生日快乐[鲜花]
70,淮竹k,江苏,f,海压竹枝低复举 风吹山角晦还明 坤哥一起回家@蔡徐坤,Wed Aug 02 00:34:45,蔡徐坤生日快乐@蔡徐坤
71,小困贩卖铺,福建,f,超级喜欢KUN的女孩子💕,Wed Aug 02 00:39:13,你闪闪发亮的同时也要平平安安❤️生日快乐！
72,小菲不吃蛋炒饭,广西,f,镇魂|肩并肩。,Wed Aug 02 00:34:05,生日快乐我们一直都在
73,这次一定能及格,河北,f,除了坤饭其他的吃不了,Wed Aug 02 00:34:42,坤坤生日快乐 祝你一直开心～
74,奶味酱油小抄手,江西,f,你是年少的欢喜，倒过来念@蔡徐坤,Wed Aug 02 00:34:05,25岁生日快乐[心]一切顺利好好生活[兔子]@蔡徐坤
75,-郜郜i幼恩呐,陕西,f,𝑺𝒉𝒂𝒓𝒊𝒏𝒈 𝒍𝒐𝒗𝒆🖤,Wed Aug 02 00:34:55,恭喜你！开启long game新副本，接下来的路，我们一起打怪升级！@蔡徐坤 25岁生日快乐！
76,月半弯妞妞,重庆,f,麻麻爱你,Wed Aug 02 01:44:03,生日快乐呀宝贝[心]
77,迷样卷心菜,吉林,f,I💛kun,Wed Aug 02 00:31:59,生日快乐坤[爱你]
78,August_屁桃小葵,云南,f,未曾谋面的终将会相遇,Wed Aug 02 00:33:58,记得吃蛋糕，生日快乐，一直开心健康幸福！我永远爱你！🎉@蔡徐坤 @蔡徐坤 @蔡徐坤
79,美娜酱·,浙江,f,开心便是真谛  哈哈,Wed Aug 02 00:39:43,坤☷生日快乐！[打call][打call][打call][心][心][心]
80,_zzyxx,江西,f,,Wed Aug 02 00:34:42,我会一直在
81,折冬柳,山东,f,我的宝宝要一直开心,Wed Aug 02 00:34:05,陪在你身边的第六年，25岁一定要一切顺利[抱一抱]
82,bobo的快乐小窝,江苏,f,,Wed Aug 02 00:32:09,生日快乐，会一直在[心]
83,喵喵初遇82,中国台湾,f,相信自己 成为你自己🦁,Wed Aug 02 08:04:34,陪你的第六年，生日快乐🎂爱你❤️@蔡徐坤
84,想看82场雪-,湖南,f,光而不耀 与光同尘,Wed Aug 02 07:27:44,我爱你@蔡徐坤
85,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:37:52,我永远爱你[送花花]
86,阿蔡小困,江西,f,forever,Wed Aug 02 06:28:43,To kun:   叮🎉迎接25岁的蔡徐坤，新的一岁希望你要天天开心，最重要的是多多营业发新歌咯（还是开心最重要）也要注意休息，好好吃饭，接下来的路会一直在陪着你，永远做你的ikun[心]
87,sur喵ai蔡徐坤,广东,f,KUN & IKUN IS FOREVER .,Wed Aug 02 01:21:48,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂
88,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:37:45,生日快乐🎂
89,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:01:18,生日快乐🎂
90,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:00:44,生日快乐🎂
91,heliotrope--cxk,湖南,m,“感谢在这场青春连续剧里遇到了那个素未谋面的蔡徐坤”,Wed Aug 02 05:17:40,你曾指引着我奔去更好的方向，而我也会一直在你身后看你闪闪发光。[心]生日快乐
92,爱你的坤坤66666,福建,f,,Wed Aug 02 00:35:30,生日快乐[蛋糕]天天开心
93,Shirley_8152,马来西亚,f,,Wed Aug 02 08:56:51,生日快乐🎂🎉 要一直开心 做你喜欢的事 做自己❤️❤️❤️
94,他的右脸有一道疤,广东,f,把期待降到最低，所有的遇见都是惊喜。,Wed Aug 02 00:42:01,生日快乐[蛋糕][心]
95,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:00:32,我们一直爱[心]
96,蔡徐坤你吃了没,河北,f,吃饭 睡觉 Hug me、,Wed Aug 02 08:38:41,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂
97,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 03:02:02,晚安[心]一直在[泪]
98,sur喵ai蔡徐坤,广东,f,KUN & IKUN IS FOREVER .,Wed Aug 02 01:21:57,勇敢大胆的去闯吧，身后永远有人爱你。生日快乐🎂
99,小甜今天又饿了,山西,f,,Wed Aug 02 00:34:22,我们都在的@蔡徐坤 生日快乐 我爱你
100,爱你的坤坤66666,福建,f,,Wed Aug 02 00:35:52,坤坤好想你
101,甜鑫菜蔡子,浙江,f,把脏话说出去，心就干净了,Tue Oct 03 19:13:48,一直在一直爱
102,困宝亲一口,山东,f,gnps gwps,Wed Aug 02 00:30:13,生日快乐哥哥 天天开心 @蔡徐坤
103,蔡徐坤的歌超好听,重庆,f,阿彩，you and me we can beat it,Wed Aug 02 00:32:20,做自己想做的事情 在舞台上闪闪发光 我们都远不止于此 生日快乐宝宝！@蔡徐坤
104,蛋卷真的很想睡觉,四川,f,你脑子里灌满了酒精,Wed Aug 02 00:33:17,㊗️原创音乐制作人蔡徐坤25岁生日快乐🎂🎊又一年我们一起过生日。一直在，一直听你唱。 Only for KUN.在你不出现的这段时间里，我们都要好好生活，天天开心🥳。记得吃蛋糕哦。 KUN&IKUN is forever.@蔡徐坤 [哈哈]
105,困宝亲一口,山东,f,gnps gwps,Wed Aug 02 00:30:18,@蔡徐坤
106,Mu-Keiyuo,新疆,f,爱人如己,Wed Aug 02 00:33:02,生日快乐
107,八玥海葵,广东,f,𝑰 𝒅̶𝒐̶𝒏̶'̶𝒕̶ 𝒎𝒊𝒔𝒔 𝒚𝒐𝒖 𝒂̶𝒏̶𝒚̶𝒎̶𝒐̶𝒓̶𝒆̶,Wed Aug 02 00:32:52,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂
108,piKriK-8-2,江苏,f,PiCriK  ：“我偏爱他且热爱他没有例外”,Wed Aug 02 00:34:54,宝宝要开心额
109,煎葵果子,湖北,f,爱与猜忌不同生,Wed Aug 02 00:35:21,生日快乐🎂坤！一定要快乐！一起的第6个生日啦!今年赴约看了你的演唱会，很喜欢 爱你！！要多多唱歌给我们听哦～会越来越好的🥳你远比自己想象的更好更强大@蔡徐坤 ​​​
110,吧唧802口蔡徐坤,内蒙古,f,未曾谋面的终将会相遇@蔡徐坤,Wed Aug 02 00:35:03,陪你的第六年，生日快乐🎂我们一直在一直爱你！❤️@蔡徐坤
111,困困天使·,广东,f,关你屁事,Wed Aug 02 00:34:44,@蔡徐坤  FOREVER[抱一抱]
112,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:43,“花在骄阳下盛开 我的爱永远为你而敞开。”生日快乐🎂[哇]
113,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:38,你在的地方就是我奔赴的远方，期待下次相聚❤️生日快乐🎂[哇]
114,妮妮薇niniwei123456,湖北,f,未曾谋面的终将会相遇！,Wed Aug 02 00:34:39,身体健康，万事如意，心想事成，一切顺利
115,蔡徐坤耶不是傻子,四川,f,Cause I always here for you.    Love never fails,Wed Aug 02 00:37:31,宝贝，希望八月浪漫一点，是三岁小朋友的生日，要开心，要平安健康，要好好吃饭，未曾谋面的日子也要好好生活，我们都是。 等待，等待下次见面，可不可以快一点啊 你永远都是我的上上签@蔡徐坤
116,-郜郜i幼恩呐,陕西,f,𝑺𝒉𝒂𝒓𝒊𝒏𝒈 𝒍𝒐𝒗𝒆🖤,Wed Aug 02 00:32:46,恭喜你！开启long game新副本，接下来的路，我们一起打怪升级！@蔡徐坤 25岁生日快乐！！！
117,_怡困噜-,浙江,f,蔡徐坤,Wed Aug 02 00:37:11,要天天开心哟@蔡徐坤
118,KK可樂記事鋪,广东,f,🦁&🐱 （单取拉黑）,Wed Aug 02 00:36:45,祝大哥@蔡徐坤 生日快乐🎂
119,西红柿先生是一个谜,湖北,f,故事的开头总是极具温柔。。。,Wed Aug 02 00:34:33,陪伴是最长情的告白 KUN&IKUN FOREVER💞生日快乐🎂[哇]
120,猫价临奏,四川,f,夢的終點是花開滿城,Wed Aug 02 00:34:26,平安喜乐 万事顺遂[心]@蔡徐坤
121,望鲸落·,辽宁,f,坤坤。世界上最美的人。,Wed Aug 02 00:32:35,我们互相陪伴，爱能赢万难。KUN&IKUN is forever 坤25岁生日快乐🎂
122,苏黎世的从前d_d,上海,f,蔡徐坤的舞台粉,Wed Aug 02 00:38:00,生日快乐[苦涩][苦涩][苦涩]
123,沃尔玛超市袋,广东,f,名字带i   i人一个,Wed Aug 02 00:37:41,㊗大哥生日快乐🎂
124,被时间偷走的梦,河北,f,蔡徐坤,Wed Aug 02 00:37:42,生日快乐[送花花][送花花]
125,夫宝女驾到,福建,f,否极泰来,Wed Aug 02 00:37:00,没见面的日子每天都要开心@蔡徐坤
126,蓝玫瑰的吻,广西,f,离不开的话那就一直追着光吧KUN,Wed Aug 02 00:36:52,记得吃蛋糕哦@蔡徐坤
127,你看见坤坤了吗,福建,f,一个脑残,Wed Aug 02 00:35:26,生日快乐
128,岵山尋蔡,山东,f,· ᴘʟᴀʏ  ᴀ  ʟᴏɴɢ  ɢᴀᴍᴇ ｜ Aikun .,Wed Aug 02 00:38:30,旦逢良辰，顺颂时宜。25岁的蔡徐坤你好，新一岁的剧本就从读完我的评论开始吧！即使万人仰慕，我对你一见如故，愿你在迷茫中寻找自我，期待更多的舞台。𝙼𝚊𝚢 𝚢𝚘𝚞𝚛 𝚋𝚒𝚛𝚝𝚑𝚍𝚊𝚢 𝚋𝚎 𝚏𝚞𝚕𝚕 𝚘𝚏 𝚕𝚊𝚞𝚐𝚑𝚝𝚎𝚛!
129,行將就鍷了,河南,f,开学（闭关修炼）,Wed Aug 02 00:38:34,生日快乐!(^O^)y生日快乐@蔡徐坤 ㊗️我们的坤坤25岁生！日！快！了！！！
130,August-困困酱牌,湖南,f,小坤 有你在就什么都好,Wed Aug 02 00:38:23,生日快乐！KUN&IKUN[心]
131,冬日唱片-标签版,广东,f,刻在百年之前未解的爱， 我仍守着花海等你归来。,Wed Aug 02 00:38:11,生日快乐 @蔡徐坤
132,K·小猫咪_yan,湖北,f,花花世界，静守己心 ☝🏼,Wed Aug 02 00:40:57,25岁生日，愿你开开心心💕㊗️坤生日快乐🎂✨我们爱你呀😘☝🏼️
133,-困困菜姚,重庆,f,KUN&IKUN,Wed Aug 02 00:38:03,你qz我真的[泪]哭死啊啊啊啊
134,爱让人愚蠢,浙江,m,人格分裂的精神病,Wed Aug 02 00:38:09,生日快乐宝贝！@蔡徐坤
135,奶味酱油小抄手,江西,f,你是年少的欢喜，倒过来念@蔡徐坤,Wed Aug 02 00:37:55,生日快乐好好生活一切顺利[心]@蔡徐坤
136,小困贩卖铺,福建,f,超级喜欢KUN的女孩子💕,Wed Aug 02 00:37:54,我的愿望是你的愿望都会实现[抱一抱]生日快乐
137,Clee_GC,四川,f,永远做你的歌迷朋友,Wed Aug 02 00:34:04,"没想到这是陪你过的第四个生日啦。每年的这个时候都在一边看大家的回顾和祝福，一边期待你会不会上线冒个泡。不知道此时此刻你在哪里，但希望你是开心的。也祝贺你和我成为同龄人！25岁也许会辛苦，但希望你我都能比过去更加勇敢。虽然孤独是人生的常态，但——If you need me, I’ll be your side."
138,HHAIKUN,重庆,f,等他出关,Wed Aug 02 00:33:21,@蔡徐坤  希望25岁的你能做你想做的 一定有人会支持你和爱你 祝生日快乐 平平安安
139,-郜郜i幼恩呐,陕西,f,𝑺𝒉𝒂𝒓𝒊𝒏𝒈 𝒍𝒐𝒗𝒆🖤,Wed Aug 02 00:44:55,25岁生日快乐 继续闪耀 做舞台上闪闪发光的你 我爱你@蔡徐坤
140,小葵特别香kun,四川,f,愿蔡徐坤平平安安,Wed Aug 02 00:47:03,生日快乐 天天开心[蛋糕]
141,sing小葵_KUN,重庆,f,𝐩𝐥𝐚𝐲 𝐭𝐡𝐞 𝐥𝐨𝐧𝐠 𝐠𝐚𝐦𝐞💛𝐊𝐔𝐍,Wed Aug 02 00:40:55,生日快乐🎂
142,不愿透露姓名的歌迷,广东,f,小坤永远开心,Wed Aug 02 00:46:47,@蔡徐坤
143,不靠谱小葵,福建,f,顺顺利利 开开心心,Wed Aug 02 00:46:30,生日快乐！生日快乐！生日快乐！
144,怡个大头葵_,安徽,f,一直在,Wed Aug 02 00:43:37,生日快乐！一定要天天开心呀 小坤！！！
145,August_好困,河南,f,听先生的歌.,Wed Aug 02 00:41:38,𝐇𝐚𝐩𝐩𝐲 𝐛𝐢𝐫𝐭𝐡𝐝𝐚𝐲 𝐭𝐨 𝐊𝐔𝐍
146,HHAIKUN,重庆,f,等他出关,Wed Aug 02 00:43:37,@蔡徐坤  希望25岁的你能做你想做的 一定有人会支持你和爱你 祝 生日快乐 平平安安
147,August_屁桃小葵,云南,f,未曾谋面的终将会相遇,Wed Aug 02 00:40:31,我会一直陪你长大的，一年又一年，生日快乐，第五年，第六个生日！我永远爱你！希望你一直健康开心幸福！🎉🎂@蔡徐坤
148,面团小蔡,广东,f,花花世界 静守己心,Wed Aug 02 00:41:26,生日快乐[心]@蔡徐坤
149,小困贩卖铺,福建,f,超级喜欢KUN的女孩子💕,Wed Aug 02 00:47:37,握紧手里的话筒，我在舞台下等你。生日快乐！
150,小慧与蔡困,广西,f,蔡徐坤是整个青春,Wed Aug 02 00:41:07,生日快乐🍰我们一起回家🏠
151,西瓜味的坤坤学长,江苏,m,只属于KFC的小葵,Wed Aug 02 00:42:12,生日快乐，要一直开心
152,狮子味的AK_Rui,内蒙古,f,Trust yourself and love yourself.,Wed Aug 02 00:43:27,生日快乐@蔡徐坤
153,色坤头子,重庆,f,,Wed Aug 02 00:41:20,我爱你！你要一直快乐！要好好生活好好照顾自己！我的宝贝 生日快乐！！！我们一直都在！永远！@蔡徐坤
154,咖霏喝醉了吗,广东,f,愿望是今年和小坤再见面,Wed Aug 02 00:42:19,生日快乐坤哥[心]
